movie_id,genre_id
1,2
1,7
1,11
2,2
2,9
2,11
3,2
3,11
4,2
4,9
4,11
5,11
6,11
7,2
7,11
7,18
7,19
8,2
8,8
8,9
9,2
9,9
10,5
10,7
10,8
11,2
11,9
11,11
12,8
12,11
13,4
13,6
13,7
14,3
14,4
14,5
14,7
15,1
15,7
16,5
16,7
16,8
16,9
17,11
18,4
18,11
19,1
19,5
19,7
19,9
20,5
20,9
20,12
20,16
21,2
21,9
21,11
22,-1
22,2
22,11
23,6
24,5
24,7
24,8
24,9
24,11
25,2
25,5
25,9
25,22
26,-1
26,2
26,9
26,11
27,-1
27,1
27,7
27,11
27,20
28,9
28,17
29,8
29,9
30,7
30,11
30,13
31,5
31,7
31,8
32,8
32,9
33,5
33,8
33,9
34,1
34,5
34,6
34,7
35,5
35,6
35,9
36,8
36,11
37,8
37,11
37,14
38,7
38,10
39,1
39,9
39,11
39,19
40,5
40,7
40,8
41,9
41,11
42,2
42,11
43,5
43,7
43,9
44,2
44,7
45,1
45,7
45,12
46,7
46,8
46,11
47,5
47,8
47,9
48,9
48,13
49,6
49,14
49,19
50,5
50,7
50,8
51,5
51,6
51,9
52,3
52,5
52,6
53,1
53,7
53,19
54,1
54,7
54,19
55,7
55,19
56,1
56,7
56,19
57,1
57,7
58,1
58,5
58,7
58,19
59,15
59,18
60,2
60,11
60,19
61,1
61,8
61,11
61,14
62,8
62,9
63,1
63,3
63,5
63,7
64,1
64,3
64,5
64,7
65,11
66,1
66,5
66,7
66,9
67,9
67,17
68,9
68,12
68,15
69,8
69,9
69,11
69,17
70,1
70,3
70,11
70,19
71,3
71,5
71,9
72,9
72,11
72,12
72,15
72,16
73,2
73,11
73,14
74,2
74,11
75,5
75,7
75,8
75,9
76,5
76,7
76,9
77,1
77,5
77,7
78,1
78,5
78,7
79,2
79,8
79,11
80,1
80,7
80,19
81,5
81,9
82,3
82,5
82,6
83,1
83,5
83,6
83,7
84,5
84,9
85,3
85,5
85,7
85,8
85,9
86,1
86,5
86,7
87,5
87,7
87,9
88,5
88,7
88,8
88,9
89,2
89,9
89,11
90,11
90,13
91,11
92,1
92,11
92,18
92,19
93,2
93,5
93,7
93,11
94,5
94,7
95,2
95,11
96,11
96,13
97,1
97,5
97,7
98,1
98,7
98,11
99,3
99,5
99,6
100,1
100,5
100,7
101,3
101,5
101,6
102,3
102,5
102,6
103,1
103,11
103,18
103,20
104,3
104,5
104,9
105,1
105,11
106,11
107,5
107,8
107,9
108,1
108,5
108,7
113,1
113,11
113,20
114,1
114,2
114,7
114,9
114,12
114,16
114,17
115,2
115,9
115,11
115,14
116,9
116,10
116,12
116,16
117,2
117,5
117,9
118,5
118,7
118,8
119,9
119,16
119,17
120,2
120,11
121,3
121,8
121,9
121,19
122,9
122,11
123,2
123,7
123,9
124,11
124,18
124,20
125,5
125,7
125,20
126,9
126,12
127,11
127,15
127,21
128,1
128,4
128,5
128,7
129,5
129,9
129,12
130,5
130,8
131,1
131,2
132,1
132,7
132,19
133,5
133,7
133,9
134,1
134,11
135,5
135,9
136,9
136,11
137,11
137,22
138,11
139,11
140,8
140,9
141,6
141,11
142,4
142,5
142,7
143,3
143,11
144,1
144,4
144,5
144,7
145,7
145,9
145,16
146,11
146,13
146,18
147,1
147,7
147,9
147,12
148,5
148,7
148,8
149,5
149,8
150,5
150,6
151,2
151,11
152,5
152,7
152,8
152,9
153,1
153,18
153,19
154,3
154,4
154,5
155,7
155,9
155,16
155,17
156,1
156,2
156,5
156,7
156,9
156,12
157,7
157,9
157,16
158,1
158,7
158,9
158,16
159,7
159,9
159,16
160,1
160,7
160,9
160,16
162,2
162,7
162,12
162,16
163,1
163,7
163,11
164,9
164,11
164,13
165,1
165,7
165,12
165,16
166,5
166,7
166,8
167,5
167,7
168,3
168,4
168,5
169,3
169,4
169,5
170,2
170,11
170,13
171,9
171,11
172,11
173,1
173,7
173,9
173,19
174,3
174,8
174,9
175,3
175,5
176,4
176,6
176,9
177,1
177,11
177,18
177,20
178,3
178,5
178,6
178,9
178,19
179,5
179,8
179,11
180,9
180,11
180,19
181,1
181,4
181,5
181,7
182,7
182,8
182,11
183,9
184,2
184,11
185,1
185,3
185,8
185,11
186,8
186,11
187,9
187,17
187,18
188,11
189,11
189,13
189,18
190,11
190,13
191,2
191,9
191,16
192,1
192,5
192,7
192,8
193,1
193,11
193,18
194,11
195,1
195,11
195,18
195,20
196,8
196,9
197,6
197,11
198,2
198,8
198,11
199,5
199,8
199,9
200,5
200,7
200,8
200,9
201,4
201,5
202,1
202,4
202,7
203,6
203,10
203,11
203,17
203,22
204,1
204,4
204,5
204,7
205,5
205,8
205,11
206,9
206,11
207,5
207,7
207,8
208,5
208,8
209,9
209,11
209,14
210,11
210,13
212,9
212,11
212,13
213,7
213,11
213,13
214,6
215,1
215,7
215,8
215,11
216,5
216,6
216,7
216,11
217,3
217,5
217,6
218,2
218,11
219,11
220,1
220,5
220,8
220,9
221,11
221,15
221,21
222,2
222,9
222,11
222,13
223,11
224,2
224,9
224,11
225,1
225,7
225,19
226,7
226,13
226,17
227,9
227,13
228,1
228,5
228,6
228,9
229,5
229,6
229,7
230,5
230,7
231,11
231,13
232,5
232,6
232,11
232,22
233,9
233,12
233,13
234,5
234,7
234,8
234,9
235,2
235,11
236,1
236,2
236,8
236,9
236,11
237,9
237,16
237,17
239,8
239,11
240,5
240,7
240,8
240,9
241,1
241,2
241,7
241,9
242,5
242,6
243,3
243,5
243,8
244,3
244,5
245,12
245,15
246,2
246,5
246,7
246,8
246,19
247,2
247,11
248,5
248,8
248,9
249,2
249,11
250,1
250,11
251,4
251,5
251,7
251,8
251,9
252,1
252,11
253,5
253,8
253,11
254,5
254,7
254,8
255,5
255,7
255,8
255,11
256,5
256,7
256,8
256,11
257,1
257,4
257,11
258,5
258,8
258,9
259,2
259,11
260,5
260,6
260,19
261,1
261,11
262,5
262,8
262,9
263,3
263,4
263,5
263,7
264,1
264,4
264,5
264,7
264,19
264,20
265,1
265,4
265,9
266,3
266,5
266,6
266,9
267,3
267,4
267,5
267,6
267,11
267,19
268,2
268,4
268,5
268,9
269,2
269,11
270,2
270,3
270,4
270,9
271,9
271,11
271,14
272,1
272,5
272,7
272,19
273,2
273,7
273,9
273,10
273,12
274,2
274,9
274,11
275,3
275,5
275,8
276,8
276,9
276,10
277,11
278,3
278,5
278,7
278,8
278,19
279,11
280,2
280,5
280,9
280,11
281,3
281,4
281,5
281,9
282,2
282,11
283,7
283,9
283,12
283,16
284,2
284,9
284,11
284,19
285,11
285,14
286,1
286,11
286,18
286,20
287,9
288,2
288,8
288,9
288,11
289,1
289,9
289,11
290,9
290,14
291,1
291,5
291,7
291,8
292,11
293,2
293,3
293,5
293,9
294,11
295,2
295,5
295,7
295,8
296,5
296,8
297,5
297,8
297,11
297,22
298,3
298,5
298,8
298,11
299,5
299,6
299,8
300,5
300,8
300,11
301,5
301,6
301,8
302,9
303,11
303,13
303,18
303,20
304,1
304,3
304,4
304,5
305,1
305,11
305,14
305,18
305,20
306,1
306,2
306,7
306,9
306,12
306,16
307,2
307,11
308,2
308,9
308,11
308,14
309,1
309,7
309,9
310,4
310,5
310,6
310,19
311,5
311,8
311,9
312,1
312,4
312,5
312,7
313,2
313,11
314,2
314,9
314,11
315,1
315,5
315,7
316,1
316,4
316,5
316,7
317,8
317,9
317,13
318,2
318,11
319,5
319,6
320,2
320,11
321,5
321,6
321,8
322,2
322,11
323,15
324,5
324,8
324,9
324,11
325,5
325,8
325,9
326,1
326,5
326,7
326,9
327,2
327,11
328,9
328,13
328,17
329,9
329,17
330,2
330,11
331,1
331,5
331,7
332,9
332,11
332,17
333,11
333,13
334,5
334,7
334,9
334,16
335,2
335,9
335,11
336,9
336,13
337,2
337,11
337,14
338,1
338,7
338,9
339,3
339,5
339,8
340,2
340,4
340,5
340,7
341,9
342,9
343,9
343,11
343,16
344,1
344,5
344,7
344,9
345,8
345,9
346,2
346,9
346,11
347,9
348,1
348,5
348,7
349,9
350,5
350,6
350,9
351,5
351,6
351,9
352,1
352,5
352,7
353,1
353,5
353,7
354,1
354,5
354,7
355,9
355,13
355,17
356,4
356,9
357,5
357,6
357,7
357,19
358,5
358,8
358,9
359,5
359,8
359,9
360,5
360,8
360,9
361,3
361,5
361,7
361,8
361,9
362,5
362,6
363,2
363,9
363,11
364,9
364,11
364,19
365,2
365,11
366,4
366,7
366,9
366,20
367,5
367,6
367,8
367,9
368,2
368,9
369,6
369,11
370,3
370,5
371,8
371,11
372,5
372,8
372,11
373,8
373,9
374,8
374,11
375,2
375,11
376,1
376,4
376,5
376,7
377,1
377,9
378,1
378,4
378,5
378,7
378,8
379,2
379,3
379,5
379,7
379,8
379,9
379,11
380,5
380,7
380,8
381,5
381,7
381,8
382,11
382,13
383,11
383,13
384,3
384,5
384,8
384,9
385,3
385,5
385,9
386,5
386,7
386,8
387,1
387,4
387,5
387,7
388,2
388,9
388,14
388,17
389,1
389,4
389,7
389,8
389,9
389,11
389,18
390,1
390,4
390,7
390,11
390,18
391,1
391,4
391,7
391,11
391,18
391,19
392,1
392,7
392,9
392,11
392,19
392,20
393,11
393,20
393,22
394,11
394,15
394,21
395,11
395,21
396,2
396,11
396,13
397,1
397,9
397,12
398,1
398,9
399,11
400,11
400,21
401,11
401,18
401,19
402,1
402,4
402,7
402,19
403,3
403,5
403,8
403,9
404,11
404,21
405,2
405,8
405,9
406,1
406,11
407,11
407,13
407,18
407,20
408,5
408,8
408,9
408,11
409,4
409,5
409,7
410,15
411,5
411,6
412,2
412,11
413,11
413,21
414,9
415,5
415,7
416,2
416,11
417,9
417,12
417,15
418,2
418,9
419,2
419,11
420,5
420,8
420,11
421,2
421,9
421,11
421,16
422,11
423,5
423,7
423,8
423,9
424,11
425,9
426,11
426,21
427,3
427,5
427,8
427,9
428,2
428,9
428,11
429,9
430,1
430,7
430,11
431,2
431,9
431,11
432,1
432,11
432,18
432,19
432,20
433,5
433,8
433,9
434,1
434,4
434,7
434,19
435,1
435,3
435,5
435,7
436,5
436,7
436,8
436,9
437,1
437,5
437,7
437,8
437,9
438,3
438,5
438,6
438,8
438,17
439,2
439,9
439,11
439,18
439,19
440,4
440,6
441,6
442,11
443,3
443,5
443,8
443,9
444,4
444,5
444,6
444,7
445,1
445,5
445,7
445,19
446,1
446,7
446,11
447,9
447,11
447,13
448,2
448,7
448,8
448,11
448,13
449,2
449,9
449,11
450,5
450,8
450,9
451,2
451,9
451,11
452,1
452,4
452,7
452,11
452,18
453,1
453,5
453,7
453,8
453,11
454,2
454,8
454,9
455,7
455,8
455,9
455,10
456,5
456,7
456,8
457,15
458,2
458,4
458,5
458,7
458,19
459,1
459,7
459,19
459,20
460,11
460,14
460,21
461,5
461,6
462,9
462,11
462,14
462,18
462,19
463,2
463,9
463,11
464,11
464,21
465,9
465,11
466,5
466,7
466,9
467,1
467,7
468,5
468,7
469,5
469,7
469,8
469,11
470,5
470,8
470,9
471,8
471,11
472,3
472,5
472,8
472,9
473,2
473,11
474,2
474,5
474,9
475,5
475,9
476,3
476,5
476,8
476,9
477,4
477,5
477,9
477,11
478,3
478,8
478,11
479,3
479,5
479,8
479,9
480,3
480,9
481,7
481,10
481,17
482,5
482,8
482,9
483,11
483,14
484,11
484,13
484,18
485,7
485,11
485,14
486,11
486,13
487,9
487,11
488,7
488,12
488,16
489,5
489,8
489,9
489,10
490,5
490,8
490,11
491,11
491,21
492,8
492,9
493,11
493,21
494,8
494,9
494,10
494,12
494,17
495,11
495,15
495,21
496,11
496,21
497,11
497,21
498,9
498,11
498,19
499,9
499,13
500,4
500,5
500,6
500,9
501,3
501,4
501,5
502,5
502,9
503,9
503,14
503,17
504,11
505,1
505,11
505,14
506,9
507,2
507,5
507,9
508,5
508,8
509,11
509,15
510,2
510,11
511,11
511,19
512,9
512,11
513,5
513,6
514,4
514,5
514,7
514,19
515,11
515,21
516,2
516,11
517,1
517,7
517,9
517,19
518,11
518,21
519,1
519,11
519,18
519,20
520,11
520,13
521,7
521,9
521,16
522,11
523,7
523,9
523,16
524,9
524,11
525,1
525,2
526,2
526,3
526,9
526,11
527,1
527,4
527,11
527,20
528,4
528,11
528,20
529,11
530,11
530,21
531,9
531,17
532,5
532,8
532,9
532,11
533,3
533,4
533,5
533,7
534,5
534,8
534,9
535,11
536,5
536,7
536,8
536,9
537,11
538,11
538,21
539,2
539,5
539,7
539,8
539,9
540,4
540,5
540,6
540,9
541,11
541,16
542,4
542,7
542,11
543,11
544,11
544,21
545,2
545,9
545,11
546,1
546,4
546,5
546,7
547,5
547,8
547,9
547,11
548,9
548,11
549,6
550,5
550,6
550,9
550,22
551,11
552,1
552,11
553,9
553,11
554,5
554,8
555,1
555,4
555,7
555,11
555,19
556,2
556,11
556,19
557,3
557,5
558,9
558,16
559,5
559,7
560,4
560,11
560,14
561,2
561,9
562,1
562,10
562,11
563,2
563,8
563,9
564,11
565,3
565,5
566,3
566,6
567,1
567,10
567,11
567,21
568,4
568,5
568,7
569,5
569,9
570,7
570,11
570,14
570,22
571,11
571,16
572,11
573,11
573,13
574,8
574,9
574,11
575,2
575,9
576,3
576,4
576,5
576,6
576,9
577,2
577,11
578,9
578,13
579,2
579,11
579,13
580,11
580,21
581,1
581,7
581,8
581,11
582,11
583,5
583,6
583,9
584,4
584,5
584,7
585,4
585,5
585,6
585,7
586,5
586,7
586,8
586,11
587,4
587,7
587,8
588,2
588,9
588,11
589,1
589,4
589,5
589,7
590,5
590,7
590,11
590,16
591,7
591,9
591,16
592,1
592,4
592,11
592,19
592,20
593,1
593,7
593,11
594,4
594,5
594,7
595,2
595,9
595,11
595,13
596,9
596,11
596,17
597,5
597,7
597,8
598,9
599,7
599,8
599,11
599,19
600,18
600,20
601,11
602,11
603,3
603,5
603,8
604,9
604,11
605,1
605,2
605,4
605,11
605,18
606,1
606,3
606,11
607,2
607,18
607,19
607,20
607,22
608,5
608,6
608,7
609,4
609,5
609,7
610,11
611,11
612,1
612,7
612,11
612,16
613,4
613,7
613,11
614,4
614,7
614,11
615,5
615,7
615,8
615,11
616,4
616,6
616,7
616,20
617,5
617,7
617,8
618,7
618,11
618,18
618,20
619,6
619,11
620,8
620,9
620,11
621,11
621,21
622,3
622,5
622,7
622,8
622,9
623,3
623,5
623,8
623,9
624,5
624,6
624,11
625,5
625,7
625,9
626,9
627,9
627,11
628,5
628,8
628,9
629,9
629,11
629,21
630,5
630,7
630,8
631,3
631,5
631,7
631,8
632,2
632,9
632,11
633,1
633,2
633,4
633,18
633,20
634,2
634,9
634,14
634,17
635,11
635,15
637,11
637,15
638,9
638,11
639,11
639,15
639,21
640,1
640,4
640,5
640,7
641,11
642,1
642,5
642,7
642,8
643,9
643,17
644,1
644,7
644,11
644,18
644,20
645,11
645,15
647,11
647,14
648,5
648,7
648,8
648,9
649,1
649,4
649,5
649,7
650,11
650,21
651,2
651,9
651,11
651,14
652,4
652,5
652,6
652,7
653,5
653,7
653,11
654,9
654,11
655,9
656,1
656,11
656,18
656,19
656,20
657,11
658,11
659,2
659,5
659,9
659,19
660,3
660,9
661,3
661,4
661,5
661,6
661,9
662,1
662,5
662,11
662,19
663,11
663,15
664,2
664,11
665,1
665,10
665,11
666,5
666,11
667,2
667,3
667,9
667,19
668,4
668,5
668,9
669,11
670,7
670,8
670,11
670,18
671,1
671,5
671,7
672,3
672,5
672,6
672,8
673,5
673,7
673,8
673,9
674,1
674,11
674,18
674,19
674,20
675,5
675,9
675,12
675,16
676,15
679,6
680,1
680,8
680,9
680,11
681,11
681,21
682,1
682,11
683,2
683,11
684,11
684,21
685,11
685,15
685,21
686,11
687,11
687,21
688,5
688,11
689,8
689,9
690,2
690,11
691,9
692,8
692,9
693,2
693,9
693,11
693,19
694,3
694,4
694,5
694,7
694,9
695,1
695,4
695,5
695,7
695,16
696,3
696,9
696,11
697,5
697,11
698,4
698,6
698,11
699,4
699,6
699,7
699,11
700,4
700,5
700,6
700,7
701,2
701,8
701,11
702,11
702,14
703,3
703,5
703,6
704,5
704,6
704,11
704,19
705,1
705,2
705,4
705,5
705,7
706,11
706,21
707,11
707,21
708,11
708,21
709,4
709,7
709,18
709,20
710,1
710,11
711,2
711,11
712,1
712,4
712,11
713,1
713,4
713,5
713,7
714,4
714,5
714,6
714,7
715,1
715,4
715,5
715,7
716,1
716,11
716,18
716,20
717,5
717,8
718,9
718,15
719,1
719,4
719,7
720,11
724,9
724,11
725,1
725,4
725,7
726,3
726,5
727,11
728,9
728,16
729,1
729,7
730,1
730,2
730,7
730,11
730,18
730,20
731,4
731,5
731,9
732,11
733,11
733,14
734,18
735,4
735,5
735,7
735,9
736,5
736,8
736,9
736,12
736,17
737,8
737,9
737,11
737,13
738,5
738,6
739,5
739,7
739,8
739,9
740,3
740,9
740,11
741,15
742,8
742,11
743,2
743,9
743,19
